"","actor","receiver","grooming.sec","observation.hours","observation.seconds","grooming.rate","actor.sex","receiver.sex"
"1315","una","c",81,11,39600,0.00204545454545455,"F","F"
"1316","una","cat",196,29,104400,0.00187739463601533,"F","F"
"1317","una","cc",0,24,86400,0,"F","F"
"1318","una","ccc",329,29,104400,0.00315134099616858,"F","F"
"1319","una","ccs",63,30,108000,0.000583333333333333,"F","F"
"1320","una","cd",6,11,39600,0.000151515151515152,"F","F"
"1321","una","cs",426,28,100800,0.00422619047619048,"F","F"
"1322","una","d",478,37,133200,0.00358858858858859,"F","F"
"1323","una","dcd",0,29,104400,0,"F","F"
"1324","una","dd",44,29,104400,0.000421455938697318,"F","F"
"1325","una","ddd",0,22,79200,0,"F","M"
"1326","una","ddld",0,29,104400,0,"F","F"
"1327","una","dld",29,25,90000,0.000322222222222222,"F","M"
"1328","una","dos",265,29,104400,0.00253831417624521,"F","F"
"1329","una","dr",31,29,104400,0.000296934865900383,"F","F"
"1330","una","ds",7,29,104400,6.70498084291188e-05,"F","F"
"1331","una","eve",62,29,104400,0.000593869731800766,"F","F"
"1332","una","ivy",516,24,86400,0.00597222222222222,"F","F"
"1333","una","ld",0,29,104400,0,"F","F "
"1334","una","ldc",5,29,104400,4.78927203065134e-05,"F","M"
"1335","una","ldd",0,29,104400,0,"F","M"
"1336","una","lds",0,30,108000,0,"F","F "
"1337","una","lsd",0,6,21600,0,"F","F"
"1338","una","no.band",7105,21,75600,0.0939814814814815,"F","F"
"1339","una","ola",768,24,86400,0.00888888888888889,"F","F"
"1340","una","r",176,20,72000,0.00244444444444444,"F","F"
"1341","una","rc",33,24,86400,0.000381944444444444,"F","F"
"1342","una","s",77,19,68400,0.00112573099415205,"F","F"
"1343","una","sc",110,19,68400,0.00160818713450292,"F","F"
"1344","una","scs",548,30,108000,0.00507407407407407,"F","F"
"1345","una","sd",708,30,108000,0.00655555555555556,"F","F"
"1346","una","sld",0,22,79200,0,"F","M"
"1347","una","son.of.ola",354,29,104400,0.00339080459770115,"F","M"
"1348","una","ss",19,23,82800,0.000229468599033816,"F","F"
"1349","una","sss",31,21,75600,0.00041005291005291,"F","F"
"1350","una","tes",875,29,104400,0.00838122605363985,"F","F"
