"alicia","bat2","bat3","bat4","bat5","bat6","bat7","bella","betty","black-panther","c","cat","cc","ccc","ccs","cerce","cerceson","cindy","cs","d","dcd","dd","ddld","eve","falcon","flapper","fran","gayle","gremlin","hera","hilga","hulk","jenna-bat","jupiter","kelly","ldc","lds","lsd","mabel","marce","no-band","ola","opal","piper","queen","r","rc","rina","s","sam6","sc","scc","scs","sd","shania","sheldon","six","snow","son-of-ola","speedster","ss","sss","streblick","vampison","vixen","zaria","zelda"
2.03971979472687,3.10626416825534,3.13854504937326,2.1471619872642,2.2979596854629,2.55927803174791,2.0765719941698,2.71665058065893,2.54399117331399,2.55429181389087,0,2.76156963836718,2.88772124339612,2.95693623821405,2.33854667662304,2.15295486808105,3.66605840995542,1.91650471167241,1.64358371794174,1.65827148153569,1.7851561475046,2.30715909172228,2.47061975791708,2.83812390980826,2.38483150867486,2.91982598943891,1.83499202654715,1.7841463507104,2.47034403562702,3.17311261120423,1.61032958788345,1.84168142331624,2.09517420855811,3.34021206554625,2.37239352773663,3.94081259749347,2.1519173776866,2.61849621711281,2.38761838522369,2.7781719499383,2.24803284132703,2.6939417736954,3.04129168631702,2.17452778719153,2.84069390504553,1.7403347756248,1.94949277417147,3.17788994335439,2.04892738818729,2.5740162621438,2.11883936628879,2.25683999154554,3.09360097257074,2.49015856851767,3.5320654835064,3.1289048886732,2.82187466931147,2.57424939413845,2.83375302879621,3.19686736405055,2.42828012107106,2.30795247717526,4.01491013956198,3.34093991981646,2.12749683058799,2.63589788700455,2.64555038416018
1.75243291133455,2.42619881999565,2.40717916446495,1.99635720664712,1.58722813003044,1.7213372108148,2.03506258901789,2.05071379632181,2.14359531420439,2.06495301628561,2.76156963836718,0,2.07676800786233,2.00884656336765,1.85048583389743,1.94309786204739,2.58314675052603,2.39797466410853,1.67112800740787,1.92191022076678,1.64494885137419,2.26490337766236,1.21170207013687,2.35876987269722,1.13814087839153,2.18365552619153,2.59987775265277,2.882052436943,1.90112251835917,1.64797745204262,1.99954357758092,1.96384733021873,1.71662794474601,1.96465277530622,2.67520162272729,3.77986708702403,1.7146500278989,1.62729059541701,2.74674826522258,1.94191812175465,1.72855761025524,1.80852831989432,2.53654581152214,2.45966153168011,2.61412443514806,3.57297055437316,2.14336781605683,2.12631809084994,2.3753855310809,1.36119604568806,1.51436730674596,1.79133296598269,2.29815765366295,1.62317449601463,2.94949423766671,1.71177093352491,2.04714609410406,2.06791177690612,1.73100798761539,2.01219161069839,2.10069195139735,1.67292804902637,3.66661308520043,2.02593250841786,1.61784985432075,1.56369516820211,2.4060358734846
2.23345273525322,2.22287535013279,2.71001305586016,2.70048395390144,2.71242179218853,2.33005827796392,2.72524445321943,2.74752572057343,1.28346323758084,1.55987447285352,2.88772124339612,2.07676800786233,0,1.8456690241523,1.68228746209115,2.35414997925859,2.95909756677703,1.90853877968457,1.69793198404215,1.74421551037797,1.93051929209462,2.73544115939634,1.98895383537514,2.4154537618943,2.05759644178439,3.0128977106591,2.52704506753804,3.27113248039013,1.59002479155381,1.56229945586362,2.51018595771376,1.54471286050203,1.37260436042362,1.91695814961658,2.88206539946166,3.63611035308761,2.14238644392852,1.87714218154252,2.21368107255407,1.63282750956176,2.19962688086668,2.45241086614429,2.46941928860762,3.22507459999166,2.77833055626575,3.78524439275047,2.61825241774609,3.22592455374538,2.19024474582222,2.28441967050356,1.79872664227613,1.62250203831114,2.16176027733344,2.03242986856482,3.35198041784534,2.51490761671706,2.42276424403687,2.74952609904497,2.04938708115215,2.7103989886004,2.11315079693276,1.67875557062007,4.12627917106822,2.43156571870609,2.10196722005304,2.07574173083044,2.68445039865582
2.50700984172768,2.39428841915275,2.81973813629698,2.42369669699878,2.69376210497654,2.51927477104548,2.73792253234485,2.6800018315399,2.23844255222081,2.46047738425941,2.95693623821405,2.00884656336765,1.8456690241523,0,2.15203398909632,2.3603505356326,3.39307755312089,2.42624048602826,2.10944360606697,2.11202805963213,1.88584830179777,2.52199914275756,2.0797711740287,2.30389269903646,1.96736612797709,2.90300056763304,3.14172318103903,3.29508926891124,2.23439480147634,2.35511928494265,2.72830296440527,2.01171798859194,1.76417084869043,2.69792036917576,3.36599716228254,3.92075165070536,1.88497560143697,1.84963898643237,3.10822551653868,2.01357979121307,2.34915185284681,1.79759713533336,3.24565706861415,3.39089801060427,3.58447252404995,3.8916780334308,2.23113884934108,3.36044655080597,2.53319112769812,2.1983672254618,1.78167048915778,2.13349223246997,2.65868708076277,1.54545661540404,3.61395354068494,2.07941970218767,1.81951342513008,2.32281471912101,2.06568886946983,2.65156028265218,2.16899923226003,2.10763750240984,3.44035616120269,2.74131690863472,2.5236388486031,2.27885521942008,3.46536596697839
1.93377372414079,1.56245850036569,2.54268700147633,2.06859192412342,1.9311246914295,1.96547056366332,1.82429529646252,2.23420448926525,1.14323532060995,1.14924642906307,2.33854667662304,1.85048583389743,1.68228746209115,2.15203398909632,0,1.66232152139089,3.14817466693238,1.77703847974903,1.20946268186207,1.08847139684944,1.08195573008069,1.81579327277986,1.56461998763244,1.530521023024,1.72124849011234,2.52269704404949,1.98929808103739,2.68299542915933,1.38150131387212,2.26983234273734,1.48111498540603,1.59092802207082,1.3226292295677,2.22939028835137,2.41941590824305,3.56094066508215,1.46461516615812,1.1241861568656,2.10403770590764,1.83818212870563,1.23649042920109,1.57252995872777,2.74543161711704,2.44948209544453,2.62680807717049,3.03472923954565,1.92556967862569,3.35481268378712,0.986443554826661,1.91537719776602,1.28143903787076,0.64319555476135,1.53111563045366,1.92125389280667,3.60470754032406,2.19756672324208,1.59102461910887,2.3793701737721,1.13249867045552,2.35843689812178,2.13240733663918,1.05095529011725,3.97856401971245,2.37900898507027,1.50884939017598,1.67947736617307,2.54365552629591
1.67867141309906,1.98971172308243,1.81420818029194,1.46344704679698,1.84750876086568,1.6998719310121,1.93384445604615,1.56309240839837,2.23901967721322,1.61410158339065,2.15295486808105,1.94309786204739,2.35414997925859,2.3603505356326,1.66232152139089,0,2.49476308427555,2.0055088971763,1.72264238448386,1.54924089834573,1.55738816806959,2.09276108565146,1.58083140327195,1.86041364479432,1.83370077844413,2.05185091199268,2.55814097975143,2.92582832331448,1.52174465062048,2.66238700494776,1.84251591845685,1.73017539973651,1.54527290923793,2.83373227513115,1.87462578077258,4.22439988499039,1.58321369189019,1.58775461356608,2.70985536582408,1.47746728092223,2.00313191352757,2.10254680985314,2.65928726471272,2.16938396226501,2.42114048772149,2.91434929289713,1.65811115770126,2.7610564510578,1.78317429509215,2.31080812108747,1.31013712947292,1.89757734359709,2.6086693642394,2.01274021017426,3.0337577729409,1.77697704421512,2.12971545821318,2.18114706591416,1.64079205801742,1.89177079178348,1.65500203947262,1.58429257809843,3.06978415293541,1.89307035223791,1.47660741693359,1.38715842337576,2.32783517102935
2.68226442406425,3.37424260267397,2.00717461947525,2.9956920533746,3.31829180454031,2.13833753922654,3.2812117886912,2.84442543087834,3.23872512406366,2.75375450172121,3.66605840995542,2.58314675052603,2.95909756677703,3.39307755312089,3.14817466693238,2.49476308427555,0,3.08382421675723,3.00881778706967,3.14147271946185,3.22882091212012,3.6848430743329,2.80139832995503,3.16096732843784,3.18536281811856,3.33813247629481,3.62666380605433,4.17125499596543,2.86401947506638,2.79019534979938,3.47682269183962,2.90609256426797,2.72841564221431,2.66029539093956,3.05726642532555,4.82172255371151,3.18712107509731,2.81369134344074,3.40543067575718,2.50630580817168,3.37264717916389,3.43068532323756,3.16791336229421,3.67601853134148,2.79582114694267,4.29434065821539,3.4831638710084,2.98549326022058,3.3929107962158,3.29476559954503,2.7778240936522,3.25516304866397,3.52632144864024,3.45067006405794,3.56961690187592,2.8469126987061,3.34622654624105,3.60454145469816,2.72778380664922,2.77677177630114,2.72305905470103,2.91882903626604,4.38686130889967,1.71023089493515,2.7361804300381,2.47149801754588,2.83980787352286
1.52559957000585,2.14801014298678,3.00313615483175,2.6293707706066,2.44339980613789,2.17550347977165,2.4147166554454,2.48240390671796,1.28654648640595,1.97247561967959,1.91650471167241,2.39797466410853,1.90853877968457,2.42624048602826,1.77703847974903,2.0055088971763,3.08382421675723,0,1.23362483991927,1.40131435997491,1.8189408879578,2.64641306985641,2.26143116222717,2.22246141509836,2.38545404058248,2.70438979829497,1.45975433232951,2.20521066897824,1.80558358783991,2.50494678355098,1.86965842908439,1.38740004348111,1.64056944296266,2.54331731561273,2.12988317997335,2.99460600669874,1.59729736651454,1.8130976098686,1.22368988677518,2.24967418601899,1.81161893333486,2.37898652810344,2.24706591609785,2.46576980944783,2.20123226425549,2.46118468759319,2.42586460024457,3.34471627798711,1.8696114247411,2.28220556738486,1.95231259987905,1.82541544652909,2.0591814339492,2.4760513170773,3.34990446025204,2.65399863326891,2.52974543827162,2.96083298225249,2.27169798798846,2.55252101499813,1.72301736012108,1.552208507087,4.12128425659239,2.4074040789013,1.51956726868606,2.22502860827874,1.99426650121145
1.49028530575903,2.13626391651272,2.6290283932481,2.092059211958,1.83560370063724,1.70323555831417,1.59777676177269,2.406855398257,1.32248698667496,1.68127178017882,1.64358371794174,1.67112800740787,1.69793198404215,2.10944360606697,1.20946268186207,1.72264238448386,3.00881778706967,1.23362483991927,0,1.10805141399094,1.0498880005075,2.16999201005096,1.71047759225085,1.93061549533692,1.68868157325029,2.50688185645699,1.49583249767909,1.84846402791694,1.62715304607238,1.97085799420802,1.24278983286293,1.31814582196616,1.19675453743709,2.29138432846269,2.35600764798989,3.22307478463191,1.25762444167709,1.45453451130348,1.75066568102888,2.01166629669062,1.18799658929253,1.77206671620396,2.4633518269524,2.16991692496801,2.47454220869863,2.36937734267483,2.00026379037534,2.9547254262968,1.39509224805557,1.77218689994191,1.21655818722205,1.09880459021522,1.80508860432125,1.93466072583303,3.39465861483816,2.36839894581646,1.93616131542307,2.33677927750067,1.72452966434925,2.51393455712264,1.89572995771355,1.11775853899702,4.05946705004159,2.40648120300644,1.3328238974151,1.86607308907987,2.19041472368908
1.52145915284356,1.97707096406193,2.6238132495975,1.79269574736749,1.69604269364606,1.99707411922962,1.9097017398888,1.9947971330944,1.26207712605383,1.32784773975709,1.65827148153569,1.92191022076678,1.74421551037797,2.11202805963213,1.08847139684944,1.54924089834573,3.14147271946185,1.40131435997491,1.10805141399094,0,0.924600848869913,1.47593089721975,1.51638784338522,1.90919278639595,1.51763103638447,2.28490218443497,1.58835441787894,2.44381972160436,1.32971448320581,2.35229354486007,1.16873339641265,0.975840645214263,1.19518420864312,2.40555665555502,1.94095540137132,3.56122556591394,1.38375835291018,1.4825611888886,1.74034337626428,1.79902696888007,1.37467607478973,1.82687808376114,2.32341420025047,2.05868619816625,2.30529220890539,2.6883254697189,1.39191013509011,2.97277331843804,1.27973238762688,1.76823747611966,1.39992152017073,1.07742869167057,2.07575576990988,1.63601238999015,3.08437052810429,2.2496432424908,1.99824430986188,2.0881832501081,1.77631009470324,2.30280714661577,1.74460329948624,1.15141759396639,3.72304122270594,2.5281918076415,1.27272254825729,1.72585635524121,2.1407518818328
