"","dir.dyad","actor","receiver","a.sex","r.sex","site1","site2","season1","season2","kinship","grooming","foodsharing","dist"
"76","bat2_betty","bat2","betty","F","F","zoo","tole","phd","lab",0,NA,NA,1.80119970081318
"77","bat2_black-panther","bat2","black-panther","F","M","zoo","tole","phd","postdoc",0,NA,NA,2.01164376720428
"78","bat2_c","bat2","c","F","F","zoo","tole","phd","postdoc",0,NA,NA,3.03552997149884
"79","bat2_cat","bat2","cat","F","F","zoo","las.pavas","phd","postdoc",0,NA,NA,2.34627729902115
"80","bat2_cc","bat2","cc","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.30330264635334
"81","bat2_ccc","bat2","ccc","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.50394273049562
"82","bat2_ccs","bat2","ccs","F","F","zoo","tole","phd","postdoc",0,NA,NA,1.68128308118202
"83","bat2_cerce","bat2","cerce","F","F","zoo","zoo","phd","phd",0.1668,NA,0,1.87694450209508
"84","bat2_cerceson","bat2","cerceson","F","M","zoo","zoo","phd","phd",0.0764,NA,NA,3.98345110232216
"85","bat2_cindy","bat2","cindy","F","F","zoo","tole","phd","lab",0,NA,NA,2.03482609903358
"86","bat2_cs","bat2","cs","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.09260184283858
"87","bat2_d","bat2","d","F","F","zoo","tole","phd","lab",0,NA,NA,2.01431351345708
"88","bat2_dcd","bat2","dcd","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.0915768852986
"89","bat2_dd","bat2","dd","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.58334370702886
"90","bat2_ddld","bat2","ddld","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.15816831476447
"91","bat2_eve","bat2","eve","F","F","zoo","las.pavas","phd","postdoc",0,NA,NA,1.65852516209992
"92","bat2_falcon","bat2","falcon","F","M","zoo","tole","phd","postdoc",0,NA,NA,2.52305006615325
"93","bat2_flapper","bat2","flapper","F","M","zoo","zoo","phd","phd",0.0314,NA,NA,2.21397282899521
"94","bat2_fran","bat2","fran","F","F","zoo","tole","phd","lab",0,NA,NA,2.53183473738756
"95","bat2_gayle","bat2","gayle","F","F","zoo","tole","phd","lab",0,NA,NA,2.73319342278452
"96","bat2_gremlin","bat2","gremlin","F","M","zoo","zoo","phd","phd",0.1182,NA,0,1.67750145497983
"97","bat2_hera","bat2","hera","F","F","zoo","tole","phd","lab",0,NA,NA,2.90413355317506
"98","bat2_hilga","bat2","hilga","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.27476257969255
"99","bat2_hulk","bat2","hulk","F","M","zoo","tole","phd","postdoc",0,NA,NA,2.03260414633335
"100","bat2_jenna-bat","bat2","jenna-bat","F","M","zoo","gamboa","phd","postdoc",0,NA,NA,2.34044294558282
"101","bat2_jupiter","bat2","jupiter","F","F","zoo","lake.bayano","phd","lab",0,NA,NA,1.90983852548279
"102","bat2_kelly","bat2","kelly","F","F","zoo","lake.bayano","phd","lab",0,NA,NA,2.38531322203534
"103","bat2_ldc","bat2","ldc","F","M","zoo","tole","phd","postdoc",0,NA,NA,3.87430846499855
"104","bat2_lds","bat2","lds","F","M","zoo","tole","phd","postdoc",0,NA,NA,1.73765992820221
"105","bat2_lsd","bat2","lsd","F","F","zoo","tole","phd","postdoc",0,NA,NA,1.46746042303268
"106","bat2_lucyson","bat2","lucyson","F","M","zoo","zoo","phd","phd",0,NA,NA,3.42341436872867
"107","bat2_mabel","bat2","mabel","F","F","zoo","tole","phd","lab",0,NA,NA,2.45003484802521
"108","bat2_marce","bat2","marce","F","F","zoo","zoo","phd","phd",0.0883,NA,0,1.9867966106173
"109","bat2_no-band","bat2","no-band","F","F","zoo","las.pavas","phd","postdoc",0,NA,NA,1.94314009454792
"110","bat2_ola","bat2","ola","F","F","zoo","las.pavas","phd","postdoc",0,NA,NA,2.11896401665119
"111","bat2_opal","bat2","opal","F","F","zoo","chorrera","phd","lab",0,NA,NA,2.66646277074305
"112","bat2_piper","bat2","piper","F","F","zoo","chorrera","phd","lab",0,NA,NA,2.10180525803482
"113","bat2_queen","bat2","queen","F","F","zoo","lake.bayano","phd","lab",0,NA,NA,2.57882942712137
"114","bat2_r","bat2","r","F","F","zoo","tole","phd","postdoc",0,NA,NA,3.10186941252347
"115","bat2_rc","bat2","rc","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.47161741178416
"116","bat2_rina","bat2","rina","F","F","zoo","chorrera","phd","lab",0,NA,NA,3.62765673183103
"117","bat2_s","bat2","s","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.08582217665547
"118","bat2_sam6","bat2","sam6","F",NA,"zoo","chilibre","phd","postdoc",0,NA,NA,2.33806369749401
"119","bat2_sc","bat2","sc","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.20257650634826
"120","bat2_scc","bat2","scc","F","M","zoo","tole","phd","postdoc",0,NA,NA,2.01029094534698
"121","bat2_scs","bat2","scs","F","F","zoo","tole","phd","lab",0,NA,NA,1.52726906803203
"122","bat2_sd","bat2","sd","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.57577812493797
"123","bat2_shania","bat2","shania","F","F","zoo","lake.bayano","phd","lab",0,NA,NA,3.48188003114349
"124","bat2_sheldon","bat2","sheldon","F","M","zoo","zoo","phd","phd",0,NA,NA,1.91986281173505
"125","bat2_six","bat2","six","F","M","zoo","las.pavas","phd","postdoc",0,NA,NA,1.95849531294922
"126","bat2_snow","bat2","snow","F","F","zoo","zoo","phd","phd",0.0631,NA,0,2.82534747968956
"127","bat2_son-of-ola","bat2","son-of-ola","F","M","zoo","las.pavas","phd","postdoc",0,NA,NA,1.63745362272336
"128","bat2_speedster","bat2","speedster","F","M","zoo","zoo","phd","phd",0.2049,NA,NA,1.77773906759629
"129","bat2_ss","bat2","ss","F","F","zoo","tole","phd","postdoc",0,NA,NA,2.28973418069749
"130","bat2_sss","bat2","sss","F","F","zoo","tole","phd","postdoc",0,NA,NA,1.55327485469148
"131","bat2_streblick","bat2","streblick","F","M","zoo","zoo","phd","phd",0,NA,NA,4.28911296451507
"132","bat2_tiffany","bat2","tiffany","F","F","zoo","lake.bayano","phd","lab",0,NA,NA,2.60188348942669
"133","bat2_vampison","bat2","vampison","F","M","zoo","zoo","phd","phd",NA,NA,NA,2.1645826048728
"134","bat2_vixen","bat2","vixen","F","F","zoo","chorrera","phd","lab",0,NA,NA,1.90636112177812
"135","bat2_zaria","bat2","zaria","F","F","zoo","zoo","phd","phd",0.0488,NA,0,1.65800018160015
"136","bat2_zelda","bat2","zelda","F","F","zoo","chorrera","phd","lab",0,NA,NA,2.57732513240967
"137","bat3_alicia","bat3","alicia","F","F","zoo","chorrera","phd","lab",0,NA,NA,2.72546924240516
"138","bat3_bat2","bat3","bat2","F","F","zoo","zoo","phd","phd",0.4777,NA,0,3.08226033328207
"139","bat3_bat4","bat3","bat4","F","F","zoo","zoo","phd","phd",0.4625,NA,0.0416666666666667,2.21555972946467
"140","bat3_bat5","bat3","bat5","F","M","zoo","zoo","phd","phd",0.2214,NA,NA,2.86621132500556
