"","alicia","bat2","bat3","bat4","bat5","bat6","bat7","bella","betty","black-panther","c","cat","cc","ccc","ccs","cerce","cerceson","cindy","cs","d","dcd","dd","ddld","eve","falcon","flapper","fran","gayle","gremlin","hera","hilga","hulk","jenna-bat","jupiter","kelly","ldc","lds","lsd","mabel","marce","no-band","ola","opal","piper","queen","r","rc","rina","s","sam6","sc","scc","scs","sd","shania","sheldon","six","snow","son-of-ola","speedster","ss","sss","streblick","vampison","vixen","zaria","zelda"
"hulk",0,26,13,38,48,1,45,0,1204,0,31,0,4,35,0,8,0,365,1,5,0,72,322,0,0,0,1,48,0,110,55,203,20,8,6,16,75,0,43,31,0,2,12,609,32,49,2,0,98,4,0,0,19,20,97,0,1,7,52,0,3,15,18,7,0,0,17
"jenna-bat",0,1,31,160,4,29,10,0,758,4,9,0,3,23,0,0,38,108,2,12,1,93,230,0,0,2,1,11,0,33,13,4,85,28,2,2,97,0,4,15,0,1,4,51,77,18,8,0,121,1,0,0,53,127,39,0,2,9,189,3,0,16,34,29,0,0,16
"jupiter",0,10,4,11,13,0,4,0,450,1,0,4,1,0,0,0,8,34,0,0,0,22,69,0,0,0,0,0,0,20,0,0,1,707,12,0,9,0,8,1,0,1,1,28,62,0,0,0,8,2,0,0,99,0,4,0,0,2,58,0,1,33,3,34,1,0,2
"kelly",0,10,8,10,56,4,8,1,314,2,5,4,0,0,0,1,50,704,0,1,0,33,196,0,0,19,5,21,1,72,41,9,0,65,797,14,17,0,50,9,0,0,71,899,1195,19,0,0,46,1,0,0,10,0,60,0,1,16,32,6,2,124,32,32,1,0,23
"ldc",0,11,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,16,0,0,0,0,2,0,0,0,7,6,0,1,0,19,0,0,0,1089,19,0,8,0,0,1,2,21,0,7,0,0,3,2,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lds",0,77,16,62,160,9,35,0,4604,4,5,343,30,117,0,6,9,1098,7,29,3,261,2961,6,0,50,14,806,0,286,71,41,6,176,125,206,6575,0,78,28,0,462,91,821,147,867,9,1,166,38,0,0,182,148,134,8,14,24,1246,60,51,333,179,148,4,1,140
"lsd",0,40,6,2,8,1,3,0,789,0,0,29,0,12,1,1,7,149,0,1,0,15,317,0,0,2,5,4,0,15,6,10,1,93,2,19,207,0,0,1,0,65,3,25,11,3,0,0,107,5,0,0,56,3,1,0,5,4,195,5,2,113,2,59,1,0,0
"mabel",0,7,6,5,70,4,26,0,4117,0,4,5,0,1,0,0,28,1333,0,3,0,115,56,0,0,4,24,312,0,40,35,15,3,95,5,83,119,0,2013,3,0,23,137,506,320,147,1,0,47,3,0,0,122,1,11,0,0,14,41,0,8,53,40,34,0,0,69
"marce",0,79,53,44,21,0,2,0,286,13,1,4,32,58,0,0,17,72,0,2,0,45,194,0,0,19,1,0,0,206,4,5,5,48,20,0,17,0,16,188,0,2,28,201,51,5,1,0,14,2,0,0,37,30,63,2,1,3,272,11,3,55,74,29,0,2,5
"no-band",0,3,0,0,10,0,4,0,402,0,1,16,0,1,2,0,0,71,0,0,0,3,163,0,0,0,2,60,0,6,27,1,0,13,2,1,35,0,8,0,0,18,0,27,2,38,0,0,12,1,0,0,7,0,0,0,0,0,29,2,2,49,0,9,1,0,0
