"bat1","bat2","dyad","kinship","site1","site2","season1","season2"
"bat1","gremlin","bat1_gremlin",0.0647,"zoo","zoo","phd","phd"
"bat1","helsing","bat1_helsing",0,"zoo","zoo","phd","phd"
"bat1","hera","bat1_hera",0,"zoo","tole","phd","lab"
"bat1","hilga","bat1_hilga",0,"zoo","tole","phd","postdoc"
"bat1","houdini","bat1_houdini",0,"zoo","zoo","phd","phd"
"bat1","hulk","bat1_hulk",0,"zoo","tole","phd","postdoc"
"bat1","irma","bat1_irma",0,"zoo","lake.bayano","phd","lab"
"bat1","iron-man","bat1_iron-man",0,"zoo","tole","phd","postdoc"
"bat1","ivy","bat1_ivy",0,"zoo","las.pavas","phd","postdoc"
"bat1","jenna-bat","bat1_jenna-bat",0,"zoo","gamboa","phd","postdoc"
"bat1","jupiter","bat1_jupiter",0,"zoo","lake.bayano","phd","lab"
"bat1","kelly","bat1_kelly",0,"zoo","lake.bayano","phd","lab"
"bat1","ldc","bat1_ldc",0,"zoo","tole","phd","postdoc"
"bat1","lds","bat1_lds",0,"zoo","tole","phd","postdoc"
"bat1","lilith","bat1_lilith",0,"zoo","lake.bayano","phd","lab"
"bat1","lily","bat1_lily",0.0614,"zoo","zoo","phd","phd"
"bat1","lilyson","bat1_lilyson",0,"zoo","zoo","phd","phd"
"bat1","lsd","bat1_lsd",0,"zoo","tole","phd","postdoc"
"bat1","lucy","bat1_lucy",0.2297,"zoo","zoo","phd","phd"
"bat1","lucyson","bat1_lucyson",0.0462,"zoo","zoo","phd","phd"
"bat1","mabel","bat1_mabel",0,"zoo","tole","phd","lab"
"bat1","marce","bat1_marce",0.0351,"zoo","zoo","phd","phd"
"bat1","maribelo","bat1_maribelo",0.2507,"zoo","zoo","phd","phd"
"bat1","mina","bat1_mina",0.021,"zoo","zoo","phd","phd"
"bat1","mya","bat1_mya",0,"zoo","zoo","phd","phd"
"bat1","no-band","bat1_no-band",0,"zoo","las.pavas","phd","postdoc"
"bat1","ola","bat1_ola",0,"zoo","las.pavas","phd","postdoc"
"bat1","opal","bat1_opal",0,"zoo","chorrera","phd","lab"
"bat1","piper","bat1_piper",0,"zoo","chorrera","phd","lab"
"bat1","pixus","bat1_pixus",0.0635,"zoo","zoo","phd","phd"
"bat1","queen","bat1_queen",0,"zoo","lake.bayano","phd","lab"
"bat1","r","bat1_r",0,"zoo","tole","phd","postdoc"
"bat1","rc","bat1_rc",0,"zoo","tole","phd","postdoc"
"bat1","rina","bat1_rina",0,"zoo","chorrera","phd","lab"
"bat1","s","bat1_s",0,"zoo","tole","phd","postdoc"
"bat1","sam1","bat1_sam1",0,"zoo","chilibre","phd","postdoc"
"bat1","sam2","bat1_sam2",0,"zoo","chilibre","phd","postdoc"
"bat1","sam5","bat1_sam5",0,"zoo","chilibre","phd","postdoc"
"bat1","sam6","bat1_sam6",0,"zoo","chilibre","phd","postdoc"
"bat1","sam7","bat1_sam7",0,"zoo","chilibre","phd","postdoc"
"bat1","sc","bat1_sc",0,"zoo","tole","phd","postdoc"
"bat1","scc","bat1_scc",0,"zoo","tole","phd","postdoc"
"bat1","scs","bat1_scs",0,"zoo","tole","phd","lab"
"bat1","sd","bat1_sd",0,"zoo","tole","phd","postdoc"
"bat1","shania","bat1_shania",0,"zoo","lake.bayano","phd","lab"
