"","donor","receiver","possible.sec","donation.sec","kinship","donor.sex","receiver.sex","donor.age.2014.10.07","receiver.age.2014.10.07","donation.rate"
"151","cerce","lily",50400,0,0.6607,"f","f",13.64583333,3.041666667,0
"152","cerce","lucy",57600,0,0,"f","f",13.64583333,8.229166667,0
"153","cerce","marce",18000,971,0.5,"f","f",13.64583333,1.479166667,0.0539444444444444
"154","cerce","maribelo",7200,0,0,"f","m",13.64583333,5.333333333,0
"155","cerce","mina",46800,90,0,"f","f",13.64583333,9.270833333,0.00192307692307692
"156","cerce","mya",50400,39,0.1125,"f","f",13.64583333,18.75,0.000773809523809524
"157","cerce","parmalee",7200,0,0,"f","m",13.64583333,7.166666667,0
"158","cerce","pixus",7200,0,0,"f","m",13.64583333,2.270833333,0
"159","cerce","snow",28800,38,0,"f","f",13.64583333,1.354166667,0.00131944444444444
"160","cerce","speedster",7200,518,0.5,"f","m",13.64583333,3.416666667,0.0719444444444444
"161","cerce","streblick",7200,0,0.1493,"f","m",13.64583333,6.333333333,0
"162","cerce","tequila",7200,0,0.0736,"f","m",13.64583333,15,0
"163","cerce","thecount",14400,0,0,"f","m",13.64583333,6.416666667,0
"164","cerce","vampirella",54000,10,0.3623,"f","f",13.64583333,6.416666667,0.000185185185185185
"165","cerce","veronica",54000,128,0,"f","f",13.64583333,8.229166667,0.00237037037037037
"166","cerce","whimsey",7200,0,0,"f","m",13.64583333,2.854166667,0
"167","cerce","zaria",46800,5,0,"f","f",13.64583333,2.354166667,0.000106837606837607
"168","cerceson","bat2",14400,0,0.0764,"m","f",2.375,14.33333333,0
"169","cerceson","bat3",25200,0,0,"m","f",2.375,12.35416667,0
"170","cerceson","bat4",25200,0,0,"m","f",2.375,7.5,0
"171","cerceson","bella",46800,0,0.2961,"m","f",2.375,9.916666667,0
"172","cerceson","cerce",32400,719,0.5,"m","f",2.375,13.64583333,0.0221913580246914
"173","cerceson","countess",39600,0,0.3948,"m","f",2.375,17.20833333,0
"174","cerceson","flapper",7200,0,0.2229,"m","m",2.375,3.416666667,0
"175","cerceson","gremlin",3600,0,0.4076,"m","m",2.375,1.020833333,0
"176","cerceson","lily",43200,0,0.5184,"m","f",2.375,3.041666667,0
"177","cerceson","lucy",43200,0,0.3408,"m","f",2.375,8.229166667,0
"178","cerceson","marce",32400,0,0.5,"m","f",2.375,1.479166667,0
"179","cerceson","mina",25200,0,0,"m","f",2.375,9.270833333,0
"180","cerceson","mya",39600,0,0,"m","f",2.375,18.75,0
"181","cerceson","pixus",7200,0,0.0479,"m","m",2.375,2.270833333,0
"182","cerceson","snow",28800,0,0.368,"m","f",2.375,1.354166667,0
"183","cerceson","vampirella",39600,0,0.168,"m","f",2.375,6.416666667,0
"184","cerceson","veronica",32400,0,0.2869,"m","f",2.375,8.229166667,0
"185","cerceson","whimsey",7200,0,0.1116,"m","m",2.375,2.854166667,0
"186","cerceson","zaria",46800,0,0,"m","f",2.375,2.354166667,0
"187","countess","bat2",14400,57,0,"f","f",17.20833333,14.33333333,0.00395833333333333
"188","countess","bat3",25200,60,0.036,"f","f",17.20833333,12.35416667,0.00238095238095238
"189","countess","bat4",25200,276,0,"f","f",17.20833333,7.5,0.010952380952381
"190","countess","bella",68400,201,0,"f","f",17.20833333,9.916666667,0.00293859649122807
"191","countess","cerce",68400,1325,0,"f","f",17.20833333,13.64583333,0.0193713450292398
"192","countess","cerceson",7200,0,0.3948,"f","m",17.20833333,2.375,0
"193","countess","flapper",14400,513,0.5,"f","m",17.20833333,3.416666667,0.035625
"194","countess","fuschia",7200,5,0,"f","m",17.20833333,8.229166667,0.000694444444444444
"195","countess","gelfling",7200,0,0.2345,"f","m",17.20833333,13.70833333,0
"196","countess","gremlin",3600,0,0,"f","m",17.20833333,1.020833333,0
"197","countess","helsing",7200,43,0.0111,"f","m",17.20833333,16.75,0.00597222222222222
"198","countess","lily",50400,89,0,"f","f",17.20833333,3.041666667,0.00176587301587302
"199","countess","lucy",57600,116,0.2319,"f","f",17.20833333,8.229166667,0.00201388888888889
"200","countess","marce",21600,253,0.1112,"f","f",17.20833333,1.479166667,0.011712962962963
"201","countess","maribelo",7200,0,0.2303,"f","m",17.20833333,5.333333333,0
"202","countess","mina",46800,250,0.0062,"f","f",17.20833333,9.270833333,0.00534188034188034
"203","countess","mya",61200,43,0.0795,"f","f",17.20833333,18.75,0.000702614379084967
"204","countess","parmalee",7200,0,0.0211,"f","m",17.20833333,7.166666667,0
"205","countess","pixus",7200,0,0,"f","m",17.20833333,2.270833333,0
"206","countess","snow",14400,967,0.5,"f","f",17.20833333,1.354166667,0.0671527777777778
"207","countess","speedster",7200,22,0,"f","m",17.20833333,3.416666667,0.00305555555555556
"208","countess","streblick",7200,0,0,"f","m",17.20833333,6.333333333,0
"209","countess","tequila",7200,0,0,"f","m",17.20833333,15,0
"210","countess","thecount",14400,515,0.3793,"f","m",17.20833333,6.416666667,0.0357638888888889
"211","countess","vampirella",54000,399,0.0904,"f","f",17.20833333,6.416666667,0.00738888888888889
"212","countess","veronica",54000,1192,0.4081,"f","f",17.20833333,8.229166667,0.0220740740740741
"213","countess","whimsey",7200,0,0.3144,"f","m",17.20833333,2.854166667,0
"214","countess","zaria",46800,116,0,"f","f",17.20833333,2.354166667,0.00247863247863248
"215","desi","bat2",3600,0,0.0173,"m","f",11.70833333,14.33333333,0
"216","desi","bat3",3600,0,0.1499,"m","f",11.70833333,12.35416667,0
"217","desi","bat4",3600,0,0,"m","f",11.70833333,7.5,0
"218","desi","bella",64800,0,0.0635,"m","f",11.70833333,9.916666667,0
"219","desi","cerce",46800,0,0.0322,"m","f",11.70833333,13.64583333,0
"220","desi","cerceson",7200,0,0,"m","m",11.70833333,2.375,0
"221","desi","countess",39600,0,0.0209,"m","f",11.70833333,17.20833333,0
"222","desi","flapper",14400,0,0.0174,"m","m",11.70833333,3.416666667,0
"223","desi","fuschia",7200,0,0,"m","m",11.70833333,8.229166667,0
"224","desi","gelfling",7200,0,0.0745,"m","m",11.70833333,13.70833333,0
"225","desi","gremlin",3600,0,0.1195,"m","m",11.70833333,1.020833333,0
"226","desi","helsing",7200,0,0,"m","m",11.70833333,16.75,0
"227","desi","lily",25200,0,0,"m","f",11.70833333,3.041666667,0
"228","desi","lucy",50400,0,0,"m","f",11.70833333,8.229166667,0
"229","desi","marce",10800,0,0,"m","f",11.70833333,1.479166667,0
"230","desi","maribelo",7200,0,0,"m","m",11.70833333,5.333333333,0
"231","desi","mina",25200,0,0.0286,"m","f",11.70833333,9.270833333,0
"232","desi","mya",61200,0,0.0544,"m","f",11.70833333,18.75,0
"233","desi","parmalee",7200,0,0,"m","m",11.70833333,7.166666667,0
"234","desi","pixus",7200,0,0.0798,"m","m",11.70833333,2.270833333,0
"235","desi","snow",7200,0,0.0674,"m","f",11.70833333,1.354166667,0
"236","desi","speedster",7200,0,0.0609,"m","m",11.70833333,3.416666667,0
"237","desi","streblick",7200,0,0,"m","m",11.70833333,6.333333333,0
"238","desi","tequila",7200,0,0.1266,"m","m",11.70833333,15,0
"239","desi","thecount",14400,0,0.0637,"m","m",11.70833333,6.416666667,0
"240","desi","vampirella",54000,0,0,"m","f",11.70833333,6.416666667,0
"241","desi","veronica",54000,0,0.062,"m","f",11.70833333,8.229166667,0
"242","desi","whimsey",7200,0,0.032,"m","m",11.70833333,2.854166667,0
"243","desi","zaria",21600,0,0.0986,"m","f",11.70833333,2.354166667,0
"244","edward","bat2",3600,0,0,"m","f",9.833333333,14.33333333,0
"245","edward","bat3",3600,0,0.1451,"m","f",9.833333333,12.35416667,0
"246","edward","bat4",3600,0,0.3139,"m","f",9.833333333,7.5,0
"247","edward","bella",64800,0,0.081,"m","f",9.833333333,9.916666667,0
"248","edward","cerce",46800,0,0,"m","f",9.833333333,13.64583333,0
"249","edward","cerceson",7200,0,0,"m","m",9.833333333,2.375,0
"250","edward","countess",39600,0,0.0413,"m","f",9.833333333,17.20833333,0
"251","edward","flapper",14400,0,0,"m","m",9.833333333,3.416666667,0
"252","edward","fuschia",7200,0,0.1812,"m","m",9.833333333,8.229166667,0
"253","edward","gelfling",7200,0,0,"m","m",9.833333333,13.70833333,0
"254","edward","gremlin",3600,0,0,"m","m",9.833333333,1.020833333,0
"255","edward","helsing",7200,0,0.4137,"m","m",9.833333333,16.75,0
"256","edward","lily",25200,0,0.0407,"m","f",9.833333333,3.041666667,0
"257","edward","lucy",50400,0,0,"m","f",9.833333333,8.229166667,0
"258","edward","marce",10800,0,0,"m","f",9.833333333,1.479166667,0
"259","edward","maribelo",7200,0,0.1297,"m","m",9.833333333,5.333333333,0
"260","edward","mina",25200,0,0,"m","f",9.833333333,9.270833333,0
"261","edward","mya",61200,0,0.1196,"m","f",9.833333333,18.75,0
"262","edward","parmalee",7200,0,0,"m","m",9.833333333,7.166666667,0
"263","edward","pixus",7200,0,0,"m","m",9.833333333,2.270833333,0
"264","edward","snow",7200,0,0.041,"m","f",9.833333333,1.354166667,0
"265","edward","speedster",7200,0,0.0914,"m","m",9.833333333,3.416666667,0
"266","edward","streblick",7200,0,0.0853,"m","m",9.833333333,6.333333333,0
"267","edward","tequila",7200,0,0.104,"m","m",9.833333333,15,0
"268","edward","thecount",14400,0,0.1439,"m","m",9.833333333,6.416666667,0
"269","edward","vampirella",54000,0,0,"m","f",9.833333333,6.416666667,0
"270","edward","veronica",54000,0,0,"m","f",9.833333333,8.229166667,0
"271","edward","whimsey",7200,0,0,"m","m",9.833333333,2.854166667,0
"272","edward","zaria",21600,0,0.0056,"m","f",9.833333333,2.354166667,0
"273","flapper","bat2",14400,0,0.0314,"m","f",3.416666667,14.33333333,0
"274","flapper","bat3",25200,0,0.1016,"m","f",3.416666667,12.35416667,0
"275","flapper","bat4",25200,0,0,"m","f",3.416666667,7.5,0
"276","flapper","bella",54000,0,0.2882,"m","f",3.416666667,9.916666667,0
"277","flapper","cerce",54000,0,0.1143,"m","f",3.416666667,13.64583333,0
"278","flapper","cerceson",7200,0,0.2229,"m","m",3.416666667,2.375,0
"279","flapper","countess",61200,1002,0.5,"m","f",3.416666667,17.20833333,0.0163725490196078
"280","flapper","gremlin",3600,0,0.2711,"m","m",3.416666667,1.020833333,0
"281","flapper","lily",50400,0,0.2164,"m","f",3.416666667,3.041666667,0
"282","flapper","lucy",50400,0,0.078,"m","f",3.416666667,8.229166667,0
"283","flapper","marce",32400,0,0.474,"m","f",3.416666667,1.479166667,0
"284","flapper","mina",46800,0,0.1918,"m","f",3.416666667,9.270833333,0
"285","flapper","mya",46800,0,0.1182,"m","f",3.416666667,18.75,0
"286","flapper","pixus",7200,0,0.127,"m","m",3.416666667,2.270833333,0
"287","flapper","snow",28800,840,0.25,"m","f",3.416666667,1.354166667,0.0291666666666667
"288","flapper","speedster",7200,131,0,"m","m",3.416666667,3.416666667,0.0181944444444444
"289","flapper","vampirella",39600,0,0.0505,"m","f",3.416666667,6.416666667,0
"290","flapper","veronica",39600,565,0,"m","f",3.416666667,8.229166667,0.0142676767676768
"291","flapper","whimsey",7200,0,0.1459,"m","m",3.416666667,2.854166667,0
"292","flapper","zaria",46800,120,0,"m","f",3.416666667,2.354166667,0.00256410256410256
"293","fuschia","bat2",14400,0,0,"m","f",8.229166667,14.33333333,0
"294","fuschia","bat3",25200,0,0.0403,"m","f",8.229166667,12.35416667,0
"295","fuschia","bat4",25200,0,0,"m","f",8.229166667,7.5,0
"296","fuschia","bella",90000,14,0.1693,"m","f",8.229166667,9.916666667,0.000155555555555556
"297","fuschia","cerce",68400,0,0.2488,"m","f",8.229166667,13.64583333,0
"298","fuschia","cerceson",7200,0,0.0195,"m","m",8.229166667,2.375,0
"299","fuschia","countess",61200,0,0,"m","f",8.229166667,17.20833333,0
"300","fuschia","flapper",14400,0,0.1071,"m","m",8.229166667,3.416666667,0
"301","fuschia","gelfling",7200,0,0.1733,"m","m",8.229166667,13.70833333,0
"302","fuschia","gremlin",3600,0,0.3323,"m","m",8.229166667,1.020833333,0
"303","fuschia","helsing",7200,0,0.4466,"m","m",8.229166667,16.75,0
"304","fuschia","lily",50400,0,0.5313,"m","f",8.229166667,3.041666667,0
"305","fuschia","lucy",79200,0,0,"m","f",8.229166667,8.229166667,0
"306","fuschia","marce",32400,240,0.021,"m","f",8.229166667,1.479166667,0.00740740740740741
"307","fuschia","maribelo",7200,0,0,"m","m",8.229166667,5.333333333,0
"308","fuschia","mina",46800,0,0.088,"m","f",8.229166667,9.270833333,0
"309","fuschia","mya",82800,0,0.1149,"m","f",8.229166667,18.75,0
"310","fuschia","parmalee",7200,0,0,"m","m",8.229166667,7.166666667,0
"311","fuschia","pixus",7200,0,0.2324,"m","m",8.229166667,2.270833333,0
"312","fuschia","snow",28800,0,0,"m","f",8.229166667,1.354166667,0
"313","fuschia","speedster",7200,0,0.6618,"m","m",8.229166667,3.416666667,0
"314","fuschia","streblick",7200,0,0.048,"m","m",8.229166667,6.333333333,0
"315","fuschia","tequila",7200,0,0,"m","m",8.229166667,15,0
"316","fuschia","thecount",14400,0,0.0018,"m","m",8.229166667,6.416666667,0
"317","fuschia","vampirella",75600,0,0.0705,"m","f",8.229166667,6.416666667,0
"318","fuschia","veronica",75600,421,0.2939,"m","f",8.229166667,8.229166667,0.00556878306878307
"319","fuschia","whimsey",7200,0,0.0816,"m","m",8.229166667,2.854166667,0
"320","fuschia","zaria",46800,77,0.0273,"m","f",8.229166667,2.354166667,0.00164529914529915
"321","gelfling","bat2",3600,0,0.0544,"m","f",13.70833333,14.33333333,0
"322","gelfling","bat3",3600,0,0.0024,"m","f",13.70833333,12.35416667,0
"323","gelfling","bat4",3600,0,0.0324,"m","f",13.70833333,7.5,0
"324","gelfling","bella",64800,75,0.1772,"m","f",13.70833333,9.916666667,0.00115740740740741
"325","gelfling","cerce",46800,0,0.2455,"m","f",13.70833333,13.64583333,0
"326","gelfling","cerceson",7200,0,0.3437,"m","m",13.70833333,2.375,0
"327","gelfling","countess",39600,0,0.2345,"m","f",13.70833333,17.20833333,0
"328","gelfling","flapper",14400,179,0,"m","m",13.70833333,3.416666667,0.0124305555555556
"329","gelfling","fuschia",7200,0,0.1733,"m","m",13.70833333,8.229166667,0
"330","gelfling","gremlin",3600,0,1.0169,"m","m",13.70833333,1.020833333,0
"331","gelfling","helsing",7200,0,0,"m","m",13.70833333,16.75,0
"332","gelfling","lily",25200,192,0.518,"m","f",13.70833333,3.041666667,0.00761904761904762
"333","gelfling","lucy",50400,0,0.4007,"m","f",13.70833333,8.229166667,0
"334","gelfling","marce",10800,0,0.0088,"m","f",13.70833333,1.479166667,0
"335","gelfling","maribelo",7200,0,0.1671,"m","m",13.70833333,5.333333333,0
"336","gelfling","mina",25200,0,0,"m","f",13.70833333,9.270833333,0
"337","gelfling","mya",61200,0,0,"m","f",13.70833333,18.75,0
"338","gelfling","parmalee",7200,0,0.258,"m","m",13.70833333,7.166666667,0
"339","gelfling","pixus",7200,0,0.1176,"m","m",13.70833333,2.270833333,0
"340","gelfling","snow",7200,0,0.0537,"m","f",13.70833333,1.354166667,0
"341","gelfling","speedster",7200,0,0.3683,"m","m",13.70833333,3.416666667,0
"342","gelfling","streblick",7200,0,0,"m","m",13.70833333,6.333333333,0
"343","gelfling","tequila",7200,0,0,"m","m",13.70833333,15,0
"344","gelfling","thecount",14400,0,0.0565,"m","m",13.70833333,6.416666667,0
"345","gelfling","vampirella",54000,967,0.2646,"m","f",13.70833333,6.416666667,0.0179074074074074
"346","gelfling","veronica",54000,0,0.6308,"m","f",13.70833333,8.229166667,0
"347","gelfling","whimsey",7200,0,0.2243,"m","m",13.70833333,2.854166667,0
"348","gelfling","zaria",21600,0,0,"m","f",13.70833333,2.354166667,0
