bat1,bat2,wang19,ml19,pedigree wang19,pedigree m19
cerceson,artimis,-0.2947,0,-0.2947,0
cerceson,barnabus,-0.1826,0,-0.1826,0
cerceson,bat1,0.0612,0,0.0612,0
cerceson,bat2,-0.051,0.0764,-0.051,0.0764
cerceson,bat3,0.0794,0,0.0794,0
cerceson,bat4,-0.1644,0,-0.1644,0
cerceson,bat5,-0.0735,0.0062,-0.0735,0.0062
cerceson,bat6,-0.1136,0,-0.1136,0
cerceson,bat7,0.1509,0.0974,0.1509,0.0974
cerceson,bella,0.428,0.2961,0.428,0.2961
cerceson,cerce,0.6293,0.6241,0.5,0.5
cerceson,countess,0.2327,0.3948,0.2327,0.3948
cerceson,desi,-0.5144,0,-0.5144,0
cerceson,edward,-0.3725,0,-0.3725,0
cerceson,flapper,0.2063,0.2229,0.2063,0.2229
cerceson,fuschia,-0.0203,0.0195,-0.0203,0.0195
cerceson,gelfling,0.2914,0.3437,0.2914,0.3437
cerceson,gomez,0.1459,0.1697,0.1459,0.1697
cerceson,gremlin,0.2712,0.4076,0.2712,0.4076
cerceson,helsing,0.2801,0.1207,0.2801,0.1207
cerceson,houdini,-0.1323,0,-0.1323,0
cerceson,leonard,0.3339,0.2272,0.3339,0.2272
cerceson,lily,0.431,0.5184,0.431,0.5184
cerceson,lilyson,0.5522,0.7813,0.5522,0.7813
cerceson,lucy,0.4201,0.3408,0.4201,0.3408
cerceson,lucyson,0.4387,0.5311,0.4387,0.5311
cerceson,marce,0.7518,0.6843,0.5,0.5
